epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.451,0.83077,1.75403,0,0.50857,1.16436,0.99975,0.99898,0.995,0.82594,0.99975,0.99898,0.995,0.9856,0.72197,0.26848,0,0.31722,1.02597,0.0670673,0.000332653,0.000332653
2,198.47,0.74008,0.64409,0,0.42063,1.09077,0.99653,1,0.99496,0.81827,0.99525,0.99898,0.99496,0.97464,0.79434,0.331,0,0.33221,1.07653,0.0340673,0.000665946,0.000665946
3,287.015,0.69304,0.50713,0,0.40079,1.06775,0.99623,0.99796,0.995,0.8473,0.99623,0.99796,0.995,0.99307,0.68121,0.15519,0,0.31887,1.01121,0.0010671,0.000999076,0.000999076
4,376.86,0.61853,0.3456,0,0.36744,1.02775,0.99993,1,0.995,0.95005,0.99993,1,0.995,0.99452,0.34605,0.12591,0,0.2145,0.83646,0.00099945,0.00099945,0.00099945
5,478.367,0.5437,0.30442,0,0.33489,0.9932,0.99985,1,0.995,0.93385,0.99985,1,0.995,0.99414,0.36366,0.11253,0,0.22141,0.83959,0.000999023,0.000999023,0.000999023
6,577.42,0.51075,0.25882,0,0.31862,0.98299,0.99984,1,0.995,0.98348,0.99984,1,0.995,0.995,0.25619,0.06897,0,0.17701,0.802,0.000998474,0.000998474,0.000998474
7,673.496,0.46802,0.21554,0,0.29733,0.96412,0.99994,1,0.995,0.97994,0.99994,1,0.995,0.99499,0.25837,0.06229,0,0.16699,0.80146,0.000997803,0.000997803,0.000997803
8,770.273,0.43798,0.18644,0,0.27956,0.95036,0.99993,1,0.995,0.96242,0.99993,1,0.995,0.99499,0.2923,0.0579,0,0.17126,0.81311,0.000997011,0.000997011,0.000997011
9,873.079,0.41864,0.16881,0,0.27098,0.94301,0.99994,1,0.995,0.98555,0.99994,1,0.995,0.995,0.23626,0.04899,0,0.15397,0.79564,0.000996097,0.000996097,0.000996097
10,974.67,0.40165,0.14659,0,0.26295,0.9382,0.99994,1,0.995,0.98463,0.99994,1,0.995,0.995,0.26261,0.05054,0,0.15996,0.79987,0.000995062,0.000995062,0.000995062
11,1075.02,0.38455,0.14374,0,0.25332,0.92891,0.99891,1,0.995,0.99133,0.99891,1,0.995,0.995,0.19649,0.0356,0,0.14946,0.78024,0.000993906,0.000993906,0.000993906
12,1177.21,0.3791,0.13084,0,0.24997,0.9284,1,0.99972,0.995,0.99173,1,0.99972,0.995,0.995,0.18332,0.04447,0,0.13684,0.77689,0.000992629,0.000992629,0.000992629
13,1274.18,0.37579,0.13289,0,0.24745,0.92835,1,0.99995,0.995,0.99117,1,0.99995,0.995,0.995,0.20492,0.04682,0,0.13827,0.78224,0.000991232,0.000991232,0.000991232
14,1373.26,0.36239,0.12541,0,0.24109,0.92335,0.99994,1,0.995,0.98679,0.99994,1,0.995,0.995,0.25273,0.03656,0,0.15241,0.79139,0.000989715,0.000989715,0.000989715
15,1475.45,0.34768,0.1089,0,0.2351,0.91753,0.99984,1,0.995,0.99344,0.99984,1,0.995,0.995,0.17486,0.03431,0,0.13336,0.77531,0.000988079,0.000988079,0.000988079
16,1578.03,0.33782,0.10792,0,0.23093,0.91472,0.99992,1,0.995,0.99386,0.99992,1,0.995,0.995,0.17555,0.03791,0,0.13589,0.77348,0.000986323,0.000986323,0.000986323
17,1683.55,0.33677,0.1023,0,0.22924,0.91369,0.99994,1,0.995,0.99428,0.99994,1,0.995,0.995,0.16776,0.03053,0,0.12372,0.77286,0.000984449,0.000984449,0.000984449
18,1786.03,0.33024,0.1039,0,0.22526,0.9131,0.99995,1,0.995,0.9936,0.99995,1,0.995,0.995,0.1746,0.03165,0,0.12151,0.77403,0.000982456,0.000982456,0.000982456
19,1889.76,0.32628,0.10923,0,0.22952,0.91371,1,0.99996,0.995,0.99322,1,0.99996,0.995,0.995,0.16785,0.02961,0,0.12517,0.77136,0.000980345,0.000980345,0.000980345
20,1993.03,0.3223,0.103,0,0.22397,0.90975,0.99995,1,0.995,0.99373,0.99995,1,0.995,0.995,0.1567,0.03064,0,0.11768,0.76976,0.000978118,0.000978118,0.000978118
21,2091.69,0.30945,0.09188,0,0.21596,0.90489,0.99994,1,0.995,0.9947,0.99994,1,0.995,0.995,0.14036,0.02275,0,0.11644,0.76645,0.000975773,0.000975773,0.000975773
22,2194.76,0.30116,0.07795,0,0.2116,0.90224,0.99993,1,0.995,0.99394,0.99993,1,0.995,0.995,0.13749,0.03005,0,0.11994,0.76495,0.000973312,0.000973312,0.000973312
23,2290.65,0.29905,0.09002,0,0.21156,0.90317,0.99994,1,0.995,0.99433,0.99994,1,0.995,0.995,0.14223,0.02266,0,0.1152,0.76535,0.000970736,0.000970736,0.000970736
24,2381.28,0.29228,0.08216,0,0.20613,0.89924,0.99995,1,0.995,0.99422,0.99995,1,0.995,0.99495,0.14568,0.02723,0,0.11201,0.76733,0.000968045,0.000968045,0.000968045
25,2468.32,0.28787,0.0834,0,0.20519,0.89892,0.99994,1,0.995,0.9942,0.99994,1,0.995,0.995,0.13759,0.02579,0,0.10797,0.76541,0.000965239,0.000965239,0.000965239
26,2560.08,0.28452,0.07441,0,0.20139,0.89529,0.99995,1,0.995,0.99481,0.99995,1,0.995,0.995,0.11969,0.02722,0,0.09765,0.76131,0.00096232,0.00096232,0.00096232
27,2648.51,0.28274,0.07025,0,0.20062,0.89411,0.99995,1,0.995,0.99491,0.99995,1,0.995,0.995,0.11021,0.01771,0,0.09349,0.75966,0.000959289,0.000959289,0.000959289
28,2736.08,0.27652,0.07586,0,0.19784,0.89387,0.99993,1,0.995,0.99499,0.99993,1,0.995,0.995,0.12148,0.01941,0,0.09871,0.76177,0.000956145,0.000956145,0.000956145
29,2826.07,0.2813,0.08726,0,0.20212,0.89532,0.99994,1,0.995,0.99457,0.99994,1,0.995,0.995,0.13391,0.01887,0,0.10269,0.76231,0.000952889,0.000952889,0.000952889
30,2917.18,0.27345,0.0707,0,0.19548,0.89447,0.99994,1,0.995,0.99498,0.99994,1,0.995,0.995,0.11413,0.01655,0,0.09441,0.75883,0.000949524,0.000949524,0.000949524
